"","naAromAtom","nAtom","nN","nO","nS","nF","BCUTw.1h","BCUTp.1l","nBondsD","SpMax1_Bhs","SpMax2_Bhs","C2SP1","C1SP2","C2SP2","C3SP2","C1SP3","C4SP3","SCH.7","VC.3","SPC.4","MIC0","nAtomLAC","piPC6","R_TpiPCTPC","n5Ring","n6Ring","nF9Ring","nF10Ring","nFG12Ring","n6HeteroRing","VE3_D","VR1_D","class_label"
"2462",12,51,6,3,0,3,19.00041848,4.266209116,2,5.210217403,4.987479957,0,3,6,2,3,0,0.524252493,1.084570622,7.09694227,20.39023665,2,6.128505399,4.849306269,0,3,0,0,0,3,-3.885697892,671.4473601,1
"2463",12,47,6,2,0,3,34.96938085,4.3097352,2,5.152555754,4.928526136,0,3,7,1,3,0,0.542951894,1.810316486,9.882424932,24.22719218,0,6.130682863,4.949594665,0,3,0,0,0,3,-3.770657132,906.9060727,1
"2464",12,41,6,2,0,3,34.96938076,4.309425835,2,5.180475928,4.957070476,0,3,7,1,2,0,0.539199137,1.20600104,7.495732314,25.73777286,0,6.058538913,5.172850412,0,3,0,0,0,3,-4.223682914,330.6672474,1
"2465",12,41,6,2,0,3,19.00041617,4.187177083,2,5.137083587,4.91301013,0,3,7,1,2,0,0.49079961,1.050985645,7.073349857,21.1749939,0,5.998936562,5.168640898,0,3,0,0,0,3,-3.418219025,374.7527851,1
"2466",6,32,2,1,1,0,31.97207178,4.787546327,1,3.958280608,3.758818682,0,0,5,1,2,0,0.286596466,0.835239517,2.944019631,17.86719127,0,5.097577224,3.951323988,0,2,0,0,0,1,-3.26378353,188.5215442,2
"2467",12,39,4,2,0,0,34.96938047,5.240788913,2,4.787986187,4.053468464,0,2,8,2,1,0,0.962545716,1.009749094,4.531144005,19.77322485,0,5.969346742,4.9714066,2,2,1,0,0,1,-3.941526925,259.2396978,2
"2468",12,39,4,1,1,0,34.96938076,5.239792949,2,4.769471764,3.994085052,0,2,9,1,1,0,1.330885184,1.110636942,4.094257281,22.75875118,0,5.827289836,4.73180483,0,3,0,0,0,2,-4.697704284,557.9078273,1
"2469",18,44,4,1,0,0,34.96938059,5.253181092,2,4.599347553,4.034758472,0,3,13,3,1,0,0.874049352,1.084625449,5.332813677,17.37324236,0,6.264944685,7.129544851,1,3,1,0,0,1,-3.966451903,284.6100614,1
"2470",12,39,4,1,1,0,34.96938076,5.26060566,2,4.787985414,3.997467111,0,2,8,2,1,0,0.962545716,1.11515835,4.531144005,22.75875118,0,5.969346742,4.9714066,2,2,1,0,0,1,-3.941526925,259.2396978,1
"2471",12,42,4,2,0,1,34.96938058,4.933623905,2,5.066533087,4.83040772,0,3,9,1,2,0,1.254491538,1.087200074,4.527210111,21.61946921,0,5.935885767,4.583297537,0,2,0,0,0,1,-4.082612616,427.8161282,1
"2472",12,44,5,2,0,0,34.96938056,5.245122602,3,4.660755043,4.651074265,0,4,9,1,2,0,0.452265955,1.170782681,5.524500881,19.4355946,0,5.821380308,5.063290028,0,3,0,0,0,2,-4.029791737,315.5551954,1
"2473",12,41,5,2,0,0,34.96938052,5.23945386,3,4.631926999,4.627440508,0,3,9,1,1,0,0.852976774,1.090920131,5.809078549,20.00668561,0,5.806451873,5.324470029,1,2,0,0,0,1,-4.153299978,611.07957,1
"2474",18,44,4,1,0,0,34.96938059,5.253181092,2,4.599347553,4.034758472,0,3,13,3,1,0,0.874049352,1.084625449,5.332813677,17.37324236,0,6.264944685,7.129544851,1,3,1,0,0,1,-3.966451903,284.6100614,1
"2475",12,38,4,2,0,0,34.96938043,5.227186346,2,4.667342758,3.985104294,0,2,9,1,2,0,0.535284624,1.049685208,4.210415884,20.03166838,0,5.669665383,5.276923077,1,2,0,0,0,1,-4.853392969,235.0320598,1
"2476",12,39,4,1,1,0,34.96938076,5.239792949,2,4.769471764,3.994085052,0,2,9,1,1,0,1.330885184,1.110636942,4.094257281,22.75875118,0,5.827289836,4.73180483,0,3,0,0,0,2,-4.697704284,557.9078273,1
"2477",12,41,4,2,0,1,34.96938053,4.936654743,2,4.945693645,4.732882933,0,2,9,1,2,0,0.467624685,1.093075131,4.609785257,21.89226607,0,5.788047027,5.114955357,0,3,0,0,0,2,-4.262016474,630.5119943,1
"2478",18,45,4,2,0,1,34.96938071,4.942244663,2,4.812382575,4.625068854,0,3,14,2,1,0,0.580702743,1.061059767,5.540513382,20.81777743,0,6.256709274,6.533430233,0,4,0,1,0,2,-4.415367566,350.1076032,1
"2479",12,44,4,1,0,1,34.96938057,4.988451963,2,5.05045562,4.81753861,0,3,9,1,1,0,1.162672384,1.3994239,5.112361032,19.89409265,0,5.925257969,4.725007234,0,3,0,0,0,2,-4.079808062,408.8863524,1
"2480",12,42,4,2,0,1,34.96938058,4.933623905,2,5.066533087,4.83040772,0,3,9,1,2,0,1.254491538,1.087200074,4.527210111,21.61946921,0,5.935885767,4.583297537,0,2,0,0,0,1,-4.082612616,427.8161282,1
"2481",18,45,4,2,0,1,34.96938071,4.942244663,2,4.812382575,4.625068854,0,3,14,2,1,0,0.580702743,1.061059767,5.540513382,20.81777743,0,6.256709274,6.533430233,0,4,0,1,0,2,-4.415367566,350.1076032,1
"2482",18,47,4,1,0,1,34.9693807,5.040618351,2,4.84281988,4.649796618,0,3,13,3,1,0,0.580702743,1.279151082,5.540513382,19.19047372,0,6.256709274,6.533430233,0,4,0,1,0,2,-4.415367566,350.1076032,1
"2483",12,44,4,2,0,1,34.96938058,4.957404957,2,4.978656226,4.759514291,0,3,9,1,3,0,0.281620451,1.131657596,4.609785257,21.20417916,0,5.815249309,4.963778409,0,2,0,0,0,1,-4.146740548,442.3455555,1
"2484",12,41,4,2,0,1,34.97015691,4.919703648,2,4.990648533,4.768593447,0,3,9,1,3,0,0.511545303,1.286672991,5.021196674,24.75687915,0,5.861142285,5.111975524,0,3,0,0,0,2,-5.408068935,326.2750149,1
"2485",12,41,4,2,0,1,34.97015691,4.944296869,2,4.990642049,4.768593425,0,2,9,1,2,0,0.511545303,1.248090526,5.021196674,24.75687915,0,5.861142285,5.111975524,0,3,0,0,0,2,-5.408068935,326.2750149,1
"2486",12,45,5,1,0,0,34.96938051,5.242609552,2,4.676387039,3.94477557,0,3,9,1,3,0,0.442835474,1.311874471,4.406308335,18.02104573,0,5.741198676,4.971436652,0,3,0,0,0,2,-4.553784458,405.1118382,1
"2487",12,45,5,1,0,0,34.96938051,5.242609552,2,4.676387039,3.94477557,0,3,9,1,3,0,0.442835474,1.311874471,4.406308335,18.02104573,0,5.741198676,4.971436652,0,3,0,0,0,2,-4.553784458,405.1118382,1
"2488",12,44,4,1,0,1,34.96938057,4.988451963,2,5.05045562,4.81753861,0,3,9,1,1,0,1.162672384,1.3994239,5.112361032,19.89409265,0,5.925257969,4.725007234,0,3,0,0,0,2,-4.079808062,408.8863524,1
"2489",12,47,4,1,0,1,34.96938061,4.994498593,2,5.066368183,4.830407103,0,3,9,1,1,1,0.795701902,1.656696921,6.06884553,19.32758477,0,5.914516006,4.77435446,0,3,0,0,0,2,-4.50910015,288.691355,1
"2490",12,41,4,2,0,1,34.96938053,4.912061671,2,4.945700776,4.732882955,0,3,9,1,3,0,0.467624685,1.131657596,4.609785257,21.89226607,0,5.788047027,5.114955357,0,3,0,0,0,2,-4.262016474,630.5119943,1
"2491",12,42,4,1,1,0,34.9693808,5.245460779,2,4.794741167,3.997347708,0,2,9,1,1,0,1.112690375,1.110636942,4.094257281,21.9909696,0,5.850584793,4.558224502,0,2,0,0,0,1,-4.489589929,392.9912871,1
"2492",18,47,4,1,0,1,34.9693807,5.040618351,2,4.84281988,4.649796618,0,3,13,3,1,0,0.580702743,1.279151082,5.540513382,19.19047372,0,6.256709274,6.533430233,0,4,0,1,0,2,-4.415367566,350.1076032,1
"2493",12,44,4,2,0,1,34.96938058,4.981998174,2,4.978646885,4.759514255,0,3,9,1,3,0,0.281620451,1.131657596,4.609785257,21.20417916,0,5.815249309,4.963778409,0,2,0,0,0,1,-4.146740548,442.3455555,1
"2494",12,47,4,1,0,1,34.96938061,4.994498593,2,5.066368183,4.830407103,0,3,9,1,1,1,0.795701902,1.656696921,6.06884553,19.32758477,0,5.914516006,4.77435446,0,3,0,0,0,2,-4.50910015,288.691355,1
"2495",12,44,5,2,0,0,34.96938056,5.144710201,3,4.660403234,4.648705188,0,3,9,1,1,0,0.452265955,1.231068729,5.420637881,19.4355946,0,5.825815725,5.113779804,0,3,0,0,0,2,-4.570646613,280.1335503,1
"2496",12,44,4,2,0,1,34.96938058,4.981997989,2,4.978648957,4.759514266,0,2,9,1,2,0,0.281620451,1.093075131,4.609785257,21.20417916,0,5.815249309,4.963778409,0,2,0,0,0,1,-4.146740548,442.3455555,1
"2497",12,45,5,1,0,1,34.96938057,4.975662682,2,4.91579423,4.708740057,0,2,9,1,2,0,0.492417837,1.256219413,5.350579196,20.34492068,0,5.827105691,5.035145429,0,3,0,0,0,2,-4.489982631,341.0210397,1
"2498",12,45,5,1,0,1,34.96938057,4.975662682,2,4.91579423,4.708740057,0,2,9,1,2,0,0.492417837,1.256219413,5.350579196,20.34492068,0,5.827105691,5.035145429,0,3,0,0,0,2,-4.489982631,341.0210397,1
"2499",12,44,4,2,0,1,34.96938058,4.957404957,2,4.978656226,4.759514291,0,3,9,1,3,0,0.281620451,1.131657596,4.609785257,21.20417916,0,5.815249309,4.963778409,0,2,0,0,0,1,-4.146740548,442.3455555,1
"2500",12,44,4,2,0,1,34.96938058,4.981997989,2,4.978648957,4.759514266,0,2,9,1,2,0,0.281620451,1.093075131,4.609785257,21.20417916,0,5.815249309,4.963778409,0,2,0,0,0,1,-4.146740548,442.3455555,1
"2501",12,41,4,2,0,1,34.96938053,4.936654743,2,4.945693645,4.732882933,0,2,9,1,2,0,0.467624685,1.093075131,4.609785257,21.89226607,0,5.788047027,5.114955357,0,3,0,0,0,2,-4.262016474,630.5119943,1
"2502",12,41,4,2,0,1,34.97015691,4.919703648,2,4.990648533,4.768593447,0,3,9,1,3,0,0.511545303,1.286672991,5.021196674,24.75687915,0,5.861142285,5.111975524,0,3,0,0,0,2,-5.408068935,326.2750149,1
"2503",12,41,4,2,0,1,34.96938053,4.912061671,2,4.945700776,4.732882955,0,3,9,1,3,0,0.467624685,1.131657596,4.609785257,21.89226607,0,5.788047027,5.114955357,0,3,0,0,0,2,-4.262016474,630.5119943,1
"2504",12,42,4,1,1,0,34.9693808,5.245460779,2,4.794741167,3.997347708,0,2,9,1,1,0,1.112690375,1.110636942,4.094257281,21.9909696,0,5.850584793,4.558224502,0,2,0,0,0,1,-4.489589929,392.9912871,1
"2505",12,44,4,2,0,1,34.96938058,4.981998174,2,4.978646885,4.759514255,0,3,9,1,3,0,0.281620451,1.131657596,4.609785257,21.20417916,0,5.815249309,4.963778409,0,2,0,0,0,1,-4.146740548,442.3455555,1
