,bioactivity_class,molecule_chembl_id,canonical_smiles,Molecular Weight,Number of Hydrogen Donors,Number of Hydrogen Acceptors,OWPC,pIC50
5382,active,CHEMBL3640271,Cc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3ccccc3)C2)nc(C2CC2)c1F,394.4540000000002,1.0,6.0,1.9199200000000003,6.457174573040819
5383,active,CHEMBL3640254,Cc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3ccccc3)C2)nc(C2CC2)c1Cl,410.90900000000016,1.0,6.0,2.4342200000000016,6.1778319206319825
5384,active,CHEMBL3640273,COc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3ccc(F)cc3)C2)nc(OC)c1F,418.40400000000017,1.0,8.0,0.8904000000000002,7.211124884224582
5385,active,CHEMBL3640274,Cc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3ccc(F)cc3)C2)nc(C)c1F,386.4060000000002,1.0,6.0,1.4900400000000007,6.943095148663526
5386,active,CHEMBL3640256,COc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3cc(F)ccc3F)C2)nc(OC)c1F,436.3940000000002,1.0,8.0,1.0295,7.180456064458132
5387,active,CHEMBL3640257,COc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3ccc(F)cc3F)C2)nc(OC)c1F,436.3940000000002,1.0,8.0,1.0295000000000003,8.1249387366083
5388,active,CHEMBL3640275,COc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3c(F)cc(F)c(F)c3F)C2)nc(C)c1F,456.37500000000017,1.0,7.0,1.60752,7.031517051446063
5389,active,CHEMBL3640276,CCc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3ccc(F)cc3)C2)nc(OC)c1F,416.4320000000001,1.0,7.0,1.4442000000000006,7.6575773191777925
5390,active,CHEMBL3640277,CCc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3cc(F)ccc3F)C2)nc(OC)c1F,434.42200000000014,1.0,7.0,1.5833000000000004,7.508638306165727
5391,active,CHEMBL3640278,CCc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3ccc(F)cc3F)C2)nc(OC)c1F,434.42200000000014,1.0,7.0,1.5833000000000008,7.585026652029182
5392,active,CHEMBL3640260,COc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3c(F)cc(F)cc3F)C2)nc(C)c1F,438.38500000000016,1.0,7.0,1.4684200000000005,7.67778070526608
5393,active,CHEMBL3640279,COc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3cccc(Cl)c3)C2)nc(C)c1F,418.8600000000001,1.0,7.0,1.7045200000000007,6.75448733218585
5394,active,CHEMBL3640280,COc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3cc(F)ccc3F)C2)nc(C2CC2)c1F,446.43300000000016,1.0,7.0,1.8983,7.0655015487564325
5395,active,CHEMBL3640281,COc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3cc(F)ccc3F)C2)nc(C2CC2)c1Cl,462.8880000000002,1.0,7.0,2.4126000000000003,7.045757490560674
